R,G,B,PH,EC,OC,P,K,S,B,Category
71.61594167,86.07049667,106.262535,6.095,0.391,0.82,24.3,29.12,27,0.085,C280
73.71469333,92.82340167,117.4376667,5.944,0.365,1.33,12.5,38.22,23,0.031,C280
68.68762667,89.42960667,111.5053,5.951,0.343,1.36,12.4,41.86,21,0.096,C280
73.993935,92.994305,112.3584183,5.935,0.326,1.39,31.4,29.12,14,0.172,C280
58.89942667,79.08529667,107.73452,6.51,0.37,1,7.8,38.22,17,0.018,C280
62.87999833,87.85621,117.5898267,5.36,0.253,1.01,6.7,27.3,4,0.055,C280
67.89280833,90.34279,123.9490033,5.73,0.022,1.15,11.7,32.76,8,0.094,C280
65.02491833,88.83796333,123.73631,5.85,0.036,1.07,10.8,34.58,5,0.156,C280
61.80108,83.217245,120.0814017,5.91,0.032,1.08,7.3,27.3,11,0.301,C280
62.51340667,84.88213833,116.2050817,5.56,0.031,1.16,9.9,27.3,2,0.265,C280
57.58147333,82.75571,115.883825,5.94,0.035,1.26,7.4,25.48,2,0.371,C280
60.31655167,82.975395,123.4728817,5.59,0.015,1.1,8.9,21.84,2,0.293,C280
62.94970833,84.28168833,117.2200983,5.72,0.027,1.13,12.1,56.42,7,0.147,C280
53.37623167,78.119175,107.1066933,6.42,0.046,1.01,9.6,18.2,5,0.337,C280
59.92917,82.87705667,112.9876017,5.56,0.04,0.65,13.1,20.02,2,0.322,C280
73.76331,97.43942333,138.37434,4895,0.26,0.85,11.2,30.94,4,0.012,C281
70.07667833,92.491405,132.721215,5.583,0.277,0.78,10.9,36.4,4,0.062,C281
70.08600833,90.40256167,128.3979983,5.939,0.316,0.89,15.4,45.5,17,0.01,C281
65.93506,87.23103167,128.6646667,5.686,0.274,0.79,9.5,34.58,4,0.047,C281
74.974065,99.652525,138.4363583,5.835,0.354,1.21,12.9,58.24,8,0.086,C281
69.40531833,99.518655,138.378705,5.424,0.258,1.28,14.5,36.4,5,0.196,C281
64.61559167,94.81031167,137.5922383,6.07,0.341,1.06,4.6,87.36,14,0.077,C281
64.782525,92.97435667,138.23165,5.88,0.026,1.08,8.9,25.48,3,0.251,C281
71.77055333,99.470675,141.1690783,5.91,0.033,0.99,9,27.3,13,0.022,C281
68.876225,96.26023167,143.9582517,5.89,0.026,1.02,8.2,21.84,6,0.177,C281
64.99718167,89.751545,130.9477867,5.75,0.029,0.97,9.2,27.3,11,0.367,C281
60.63318167,89.30080667,126.7612667,5.37,0.019,0.8,12.4,20.02,2,0.434,C281
75.69262167,101.6233367,126.4691083,5.905,0.334,0.87,21.3,41.86,19,0.159,C292
78.69783667,95.83462333,120.781075,6.035,0.319,0.95,13.7,43.68,6,0.031,C401
81.98249667,104.080005,128.9781617,6.489,0.332,0.82,9.4,43.68,3,0.012,C413
92.34383333,111.4960967,131.0220017,6.174,0.34,1.3,13.1,50.96,7,0.077,C413
89.39481167,105.159645,132.31133,5.776,0.576,0.81,17.9,47.32,106,0.023,C413
91.52196333,110.8718617,142.709315,5.447,0.31,0.9,14.8,41.86,5,0.023,C413
79.85558167,102.88044,137.7241483,5.767,0.508,0.79,14.6,49.14,87,0.035,C413
87.76087667,109.23976,148.5473017,5.797,0.372,0.82,12.4,58.24,13,0.06,C413
