R,G,B,Category,Soil number,PH,EC,OC,P,K,S,B
78.69783667,95.83462333,120.781075,C33,160,6.035,0.319,0.95,13.7,43.68,6,0.031
70.08600833,90.40256167,128.3979983,C33,161,5.939,0.316,0.89,15.4,45.5,17,0.01
65.93506,87.23103167,128.6646667,C33,162,5.686,0.274,0.79,9.5,34.58,4,0.047
63.21543333,81.236235,110.3088717,C33,163,6.065,0.644,0.75,19.4,50.96,110,0.024
71.61594167,86.07049667,106.262535,C33,164,6.095,0.391,0.82,24.3,29.12,27,0.085
73.71469333,92.82340167,117.4376667,C33,165,5.944,0.365,1.33,12.5,38.22,23,0.031
68.68762667,89.42960667,111.5053,C33,167,5.951,0.343,1.36,12.4,41.86,21,0.096
74.974065,99.652525,138.4363583,C33,168,5.835,0.354,1.21,12.9,58.24,8,0.086
73.993935,92.994305,112.3584183,C33,169,5.935,0.326,1.39,31.4,29.12,14,0.172
69.40531833,99.518655,138.378705,C33,170,5.424,0.258,1.28,14.5,36.4,5,0.196
58.89942667,79.08529667,107.73452,C33,185,6.51,0.37,1,7.8,38.22,17,0.018
62.87999833,87.85621,117.5898267,C33,189,5.36,0.253,1.01,6.7,27.3,4,0.055
64.61559167,94.81031167,137.5922383,C33,190,6.07,0.341,1.06,4.6,87.36,14,0.077
67.89280833,90.34279,123.9490033,C33,467,5.73,0.022,1.15,11.7,32.76,8,0.094
64.782525,92.97435667,138.23165,C33,468,5.88,0.026,1.08,8.9,25.48,3,0.251
71.77055333,99.470675,141.1690783,C33,469,5.91,0.033,0.99,9,27.3,13,0.022
68.876225,96.26023167,143.9582517,C33,470,5.89,0.026,1.02,8.2,21.84,6,0.177
65.02491833,88.83796333,123.73631,C33,471,5.85,0.036,1.07,10.8,34.58,5,0.156
61.80108,83.217245,120.0814017,C33,473,5.91,0.032,1.08,7.3,27.3,11,0.301
62.51340667,84.88213833,116.2050817,C33,474,5.56,0.031,1.16,9.9,27.3,2,0.265
64.99718167,89.751545,130.9477867,C33,475,5.75,0.029,0.97,9.2,27.3,11,0.367
57.58147333,82.75571,115.883825,C33,477,5.94,0.035,1.26,7.4,25.48,2,0.371
60.31655167,82.975395,123.4728817,C33,478,5.59,0.015,1.1,8.9,21.84,2,0.293
62.94970833,84.28168833,117.2200983,C33,479,5.72,0.027,1.13,12.1,56.42,7,0.147
53.37623167,78.119175,107.1066933,C33,486,6.42,0.046,1.01,9.6,18.2,5,0.337
60.63318167,89.30080667,126.7612667,C33,488,5.37,0.019,0.8,12.4,20.02,2,0.434
59.92917,82.87705667,112.9876017,C33,498,5.56,0.04,0.65,13.1,20.02,2,0.322
81.98249667,104.080005,128.9781617,C38,152,6.489,0.332,0.82,9.4,43.68,3,0.012
92.34383333,111.4960967,131.0220017,C38,154,6.174,0.34,1.3,13.1,50.96,7,0.077
89.39481167,105.159645,132.31133,C38,155,5.776,0.576,0.81,17.9,47.32,106,0.023
91.52196333,110.8718617,142.709315,C38,156,5.447,0.31,0.9,14.8,41.86,5,0.023
79.85558167,102.88044,137.7241483,C38,157,5.767,0.508,0.79,14.6,49.14,87,0.035
87.76087667,109.23976,148.5473017,C38,158,5.797,0.372,0.82,12.4,58.24,13,0.06
75.69262167,101.6233367,126.4691083,C38,166,5.905,0.334,0.87,21.3,41.86,19,0.159
